plot,tag,trt,species,surv1.5yr
10,10_41,s,aweoweo,1
10,10_48,s,pualoalo,1
10,10_50,s,aweoweo,0
10,10_52,s,pualoalo,1
10,10_53,s,aweoweo,1
10,10_54,s,aweoweo,1
10,10_57,s,koa,1
10,10_58,s,pualoalo,0
10,10_64,s,pualoalo,1
10,10_67,s,awa,0
10,10_68,s,pualoalo,1
10,10_70,s,aweoweo,1
10,10_74,s,aweoweo,1
10,10_76,s,awa,0
10,10_77,s,pualoalo,1
10,10_79,s,pualoalo,1
10,10_84,s,koa,1
10,10_92,s,awa,0
10,10_97,s,awa,0
10,10_99,s,pualoalo,1
